"","aic","bic","r2","r2_adj","looic","waic","bf"
"1",128,3,200,195,118,121,3
"2",47,170,0,1,55,53,172
"3",17,24,0,1,18,17,23
"4",8,3,0,3,9,9,2
"5",0,0,0,0,0,0,0
