"","aic","bic","r2","r2_adj","looic","waic","bf"
"1",5,0,200,90,4,4,0
"2",151,194,0,70,156,156,194
"3",31,6,0,27,29,29,6
"4",13,0,0,13,11,11,0
"5",0,0,0,0,0,0,0
